folder	url	phish_prediction	target_prediction	has_logo	brand_inside_targetlist	found_knowledge	knowledge_discovery_branch	runtime_breakdown(PhishIntention|Knowledge_discovery|Web_interaction)
mail.pblog.blog.dev.2019.vmig.expert	https://mail.pblog.blog.dev.2019.vmig.expert/	0	None	False	False	False	None	0|0|0|0
www.prefabricated-homes-68643.bond	https://www.prefabricated-homes-68643.bond/	0	None	False	False	False	None	0|0|0|0
www.online-jobs-02.online	https://www.online-jobs-02.online/	0	None	False	False	False	None	0|0|0|0
www.stonecipher-family-a.joziejenningsphotography.com	https://www.stonecipher-family-a.joziejenningsphotography.com/	0	None	False	False	False	None	0|0|0|0
client.aegiswealthmanagement.com	https://client.aegiswealthmanagement.com/	0	None	False	False	False	None	0|0|0|0
www.weverklusjesservice.nl	https://www.weverklusjesservice.nl/	0	None	False	False	False	None	0|0|0|0
cpanel.melbourneaccessserviceandrepairs.com.au	https://cpanel.melbourneaccessserviceandrepairs.com.au/	0	None	True	False	False	None	0|0|0|0
kapodistrias.info	https://kapodistrias.info/	0	None	True	False	False	success_logo2brand	12.04462194442749|24.691983699798584|0|0
mattss.xyz	https://mattss.xyz/	0	None	True	False	False	None	0|0|0|0
www.johnny-2.marissanuzzophotography.com	https://www.johnny-2.marissanuzzophotography.com/	0	None	False	False	False	None	0|0|0|0
kaze-welfare-or-jp.c-server.jp	https://kaze-welfare-or-jp.c-server.jp/	0	None	True	False	False	failure_no_result_from_logo_detection	0|0.14479398727416992|0|0
financebankloans.finance.blog	https://financebankloans.finance.blog/	0	None	True	False	False	failure_doesnt_pass_validation	0|25.87295627593994|0|0
supportcanadamadepetproducts.ca	https://supportcanadamadepetproducts.ca/	0	None	True	False	False	success_logo2brand	11.584946155548096|35.000112533569336|0|0
rfb136.signage.mmll.cam.ac.uk	https://rfb136.signage.mmll.cam.ac.uk/	0	None	False	False	False	None	0|0|0|0
www.praxis-gomke-dr-steinboeck.de	https://www.praxis-gomke-dr-steinboeck.de/	0	None	False	False	False	None	0|0|0|0
shangnan.onlinekombisatis.com	https://shangnan.onlinekombisatis.com/	0	None	False	False	False	None	0|0|0|0
live.cwyf0782.xyz	https://live.cwyf0782.xyz/	0	None	True	False	False	None	0|0|0|0
www.bruce-and-collee-1.justinyoungphotography.com	https://www.bruce-and-collee-1.justinyoungphotography.com/	0	None	False	False	False	None	0|0|0|0
www.xn--72c0a2db4ed.xyz	https://www.xn--72c0a2db4ed.xyz/	0	None	True	False	False	failure_doesnt_pass_validation	0|39.74347949028015|0|0
manage.gravityintprog.com	https://manage.gravityintprog.com/login	0	None	True	False	False	failure_doesnt_pass_validation	0|43.263795614242554|0|0
www.windowsunlimited-sc.com	https://www.windowsunlimited-sc.com/	0	None	True	False	False	success_logo2brand	11.54378890991211|32.121896266937256|0|0
cloisterbank.moihotell.top	https://cloisterbank.moihotell.top/	0	None	True	False	False	failure_doesnt_pass_validation	0|33.602468967437744|0|0
www.autoalca.hu.rapidnyomda.hu	https://www.autoalca.hu.rapidnyomda.hu/	0	None	True	False	False	failure_doesnt_pass_validation	0|17.119547605514526|0|0
sber.unileverbrazil-mkt-prod1-rpay.avito.yandex.yandex.cancerresearchuk-mkt-prod1-res.campx.cancerresearchuk-mkt-prod1-res.campaign.capecodcuk-mkt-prod1-res.campaign.capecodcfo.com	https://sber.unileverbrazil-mkt-prod1-rpay.avito.yandex.yandex.cancerresearchuk-mkt-prod1-res.campx.cancerresearchuk-mkt-prod1-res.campaign.capecodcuk-mkt-prod1-res.campaign.capecodcfo.com/cgi-sys/defaultwebpage.cgi	0	None	True	False	False	failure_doesnt_pass_validation	0|24.809504508972168|0|0
kitnetworkonline.com	https://kitnetworkonline.com/	0	None	False	False	False	None	0|0|0|0
www.login.as2019.com.ar	https://www.login.as2019.com.ar/	0	None	True	False	False	None	0|0|0|0
login.geigerunit.fr	https://login.geigerunit.fr/	0	None	True	False	False	None	0|0|0|0
strange-blackburn.82-165-102-250.plesk.page	https://strange-blackburn.82-165-102-250.plesk.page/login_up.php	0	None	False	False	False	None	0|0|0|0
jackson.medicaloffice.info	https://jackson.medicaloffice.info/toc.cfm	0	None	True	False	False	failure_doesnt_pass_validation	0|29.57691788673401|0|0
pay.www.2pg8khfkoood28g.mzjfbthvkgnnwa8.www.stage.jour71.ru	https://pay.www.2pg8khfkoood28g.mzjfbthvkgnnwa8.www.stage.jour71.ru/	0	None	False	False	False	None	0|0|0|0
www.daviesexteriorcleaningservices.co.uk	https://www.daviesexteriorcleaningservices.co.uk/	0	None	False	False	False	None	0|0|0|0
www.gmbjjrm.com	https://www.gmbjjrm.com/	0	None	False	False	False	None	0|0|0|0
ww12.celemedia.club	http://ww12.celemedia.club/	0	None	True	False	False	None	0|0|0|0
ww12.ielectriccars.xyz	http://ww12.ielectriccars.xyz/	0	None	True	False	False	None	0|0|0|0
avito.uniww.avito.pay.avito.yandex.yandex.unileverbrazil-mkt-prod1-rod2-res.campaign.ltroth.com	https://avito.uniww.avito.pay.avito.yandex.yandex.unileverbrazil-mkt-prod1-rod2-res.campaign.ltroth.com/cgi-sys/defaultwebpage.cgi	0	None	True	False	False	failure_doesnt_pass_validation	0|26.562731504440308|0|0
avito.unileverbrazil-mkt-provito.pay.sber.unileverbrazilex.yk-mid-prod2-res.campaign.smccpa.com	https://avito.unileverbrazil-mkt-provito.pay.sber.unileverbrazilex.yk-mid-prod2-res.campaign.smccpa.com/cgi-sys/defaultwebpage.cgi	0	None	True	False	False	failure_doesnt_pass_validation	0|25.227375507354736|0|0
ww12.getpassiveincomeonline.com	http://ww12.getpassiveincomeonline.com/	0	None	False	False	False	None	0|0|0|0
sa2.162716.xyz	https://sa2.162716.xyz/	0	None	True	False	False	failure_doesnt_pass_validation	0|43.32966113090515|0|0
webmail.h2931208.stratoserver.net	https://webmail.h2931208.stratoserver.net/login.php	0	None	True	False	False	failure_doesnt_pass_validation	0|36.24066376686096|0|0
www.dubois-family.tpepphotography.com	https://www.dubois-family.tpepphotography.com/	0	None	False	False	False	None	0|0|0|0
www.madeformoreinternational.org	https://www.madeformoreinternational.org/	0	None	False	False	False	None	0|0|0|0
3cx.mikrobilling.com	https://3cx.mikrobilling.com/	0	None	True	False	False	failure_no_result_from_logo_detection	0|0.1340796947479248|0|0
ww12.lecaribouff.com	http://ww12.lecaribouff.com/	0	None	True	False	False	None	0|0|0|0
ww12.lifenlive.com	http://ww12.lifenlive.com/	0	None	True	False	False	None	0|0|0|0
www-uyybfecgxu-com.isncko.rent	https://www-uyybfecgxu-com.isncko.rent/	0	None	True	False	False	None	0|0|0|0
www.aviter.online	https://www.aviter.online/	0	None	False	False	False	None	0|0|0|0
airconditioningrefrigerationbusiness.au	https://airconditioningrefrigerationbusiness.au/	0	None	True	False	False	failure_doesnt_pass_validation	0|31.831471920013428|0|0
bluestarservices.focalpointremote.com	https://bluestarservices.focalpointremote.com/	0	None	True	False	False	failure_doesnt_pass_validation	0|51.419846534729004|0|0
ww12.getpassiveincomeonline.com	http://ww12.getpassiveincomeonline.com/	0	None	False	False	False	None	0|0|0|0
ww12.getpassiveincomeonline.com	http://ww12.getpassiveincomeonline.com/	0	None	False	False	False	None	0|0|0|0
sahoo.jp	https://sahoo.jp/spic/	0	None	True	True	False	None	12.038901090621948|0|0|0
sber.www.sber.pay.pay.pay.avito.sberbank.hearingaid1.xyz	https://sber.www.sber.pay.pay.pay.avito.sberbank.hearingaid1.xyz/	0	None	True	False	False	None	0|0|0|0
www.securityriskconsultant.com	https://www.securityriskconsultant.com/	0	None	True	False	False	success_logo2brand	11.548426389694214|36.61176562309265|0|0
pay.www.sber.pay.pay.avito.sberbank.hearingaid-6661.site	https://pay.www.sber.pay.pay.avito.sberbank.hearingaid-6661.site/	0	None	True	False	False	None	0|0|0|0
avito.www.sber.pay.pay.pay.avito.pay.pay.gold-6665.site	https://avito.www.sber.pay.pay.pay.avito.pay.pay.gold-6665.site/	0	None	True	False	False	None	0|0|0|0
sber.www.sber.pay.pay.pay.pay.pay.hearingaid1.xyz	https://sber.www.sber.pay.pay.pay.pay.pay.hearingaid1.xyz/	0	None	True	False	False	None	0|0|0|0
geoip.mediaciptainformasi.co.id10000	https://geoip.mediaciptainformasi.co.id:10000/	0	None	True	False	False	failure_doesnt_pass_validation	0|9.886698961257935|0|0
yolo-onnx.vipulchaturvedi.com	https://yolo-onnx.vipulchaturvedi.com/	0	None	True	False	False	failure_doesnt_pass_validation	0|34.48071599006653|0|0
billing.safetycompliance.io	https://billing.safetycompliance.io/login?serviceurl=%2Fhome	0	None	False	False	False	None	0|0|0|0
enxhi.info	https://enxhi.info/	0	None	False	False	False	None	0|0|0|0
www.brusformidlingen.no	https://www.brusformidlingen.no/	0	None	False	False	False	None	0|0|0|0
blog.office.school10kd.ru	https://blog.office.school10kd.ru/	0	None	False	False	False	None	0|0|0|0
fn300mtw033.feixingjs.xyz	https://fn300mtw033.feixingjs.xyz/	0	None	True	False	False	failure_doesnt_pass_validation	0|26.581437587738037|0|0
vmi427959.contaboserver.net	https://vmi427959.contaboserver.net/login_up.php?success_redirect_url=%2F	0	None	False	False	False	None	0|0|0|0
www.primiiromania.ro.epick.ro	https://www.primiiromania.ro.epick.ro/	0	None	True	False	False	success_logo2brand	13.865952968597412|21.48773503303528|0|0
adonadecasa.online	https://adonadecasa.online/	0	None	True	False	False	success_logo2brand	11.04801869392395|10.246758937835693|0|0
www.myusaa-depositsinfo.beansfamilymarket.com	https://www.myusaa-depositsinfo.beansfamilymarket.com/	0	None	False	False	False	None	0|0|0|0
www.freeillustrations.club	https://www.freeillustrations.club/	0	None	False	False	False	None	0|0|0|0
selfsystemupdate.blog	https://selfsystemupdate.blog/	0	None	False	False	False	None	0|0|0|0
onlinewebspace.ru	https://onlinewebspace.ru/	0	None	True	False	False	None	0|0|0|0
www.luksusbilleje.com	https://www.luksusbilleje.com/	0	None	True	False	False	None	0|0|0|0
host.kwsystem.info	https://host.kwsystem.info/cgi-sys/defaultwebpage.cgi	0	None	True	False	False	failure_doesnt_pass_validation	0|25.449885845184326|0|0
www.45seadogs.sunstruckmultimedia.com	https://www.45seadogs.sunstruckmultimedia.com/	0	None	True	False	False	failure_doesnt_pass_validation	0|19.628148794174194|0|0
git.gitlab.git.gitlab.p9m4iq5drpepqpc.mysql.data.endobible.co.uk	https://git.gitlab.git.gitlab.p9m4iq5drpepqpc.mysql.data.endobible.co.uk/	0	None	False	False	False	None	0|0|0|0
ccsu-provisionalcertificate.online	https://ccsu-provisionalcertificate.online/	0	None	False	False	False	None	0|0|0|0
cpanel.livesprecious.com	https://cpanel.livesprecious.com/	0	None	True	False	False	None	0|0|0|0
tchealsupdates.acscreativedev.com	https://tchealsupdates.acscreativedev.com/	0	None	False	False	False	None	0|0|0|0
adriansbilservice.se	https://adriansbilservice.se/	0	None	True	False	False	failure_no_result_from_gsearch	0|0.6068155765533447|0|0
sberbank.www.sber.pay.pay.sber.avito.pay.getpaid90persurvey.site	https://sberbank.www.sber.pay.pay.sber.avito.pay.getpaid90persurvey.site/	0	None	False	False	False	None	0|0|0|0
sber.www.sber.pay.pay.sber.sber.avito.pay.pay.hearingaid3.com	https://sber.www.sber.pay.pay.sber.sber.avito.pay.pay.hearingaid3.com/	0	None	False	False	False	None	0|0|0|0
idbx7t.shsp92.top	https://idbx7t.shsp92.top/	0	None	True	False	False	None	0|0|0|0
